urls,caption,event_id
http://www.mufoncms.com/files_jeud8334j/81005_submitter_file1__Screenshot20161215211651.jpg,a black and white photo of a laptop computer .,81005
http://www.mufoncms.com/files_jeud8334j/81006_submitter_file1__20161213224244.jpg,a view of a city street at night .,81006
http://www.mufoncms.com/files_jeud8334j/81015_submitter_file1__20161216203256.jpg,a black and white photo of a black and white photo,81015
http://www.mufoncms.com/files_jeud8334j/81016_submitter_file1__20161206143438.jpg,a stop light that is on a pole .,81016
http://www.mufoncms.com/files_jeud8334j/81033_submitter_file1__DSC1685.jpg,a plane flying in the sky with a sky background,81033
http://www.mufoncms.com/files_jeud8334j/81034_submitter_file1__DSC1685.jpg,a plane flying in the sky with a sky background,81034
http://www.mufoncms.com/files_jeud8334j/81037_submitter_file1__IMG6499.JPG,a person is flying a kite in the air .,81037
http://www.mufoncms.com/files_jeud8334j/81048_submitter_file1__20161023112050.jpg,a tall clock tower with a sky background,81048
http://www.mufoncms.com/files_jeud8334j/81049_submitter_file1__1549261112396986861188262394440657840490457n.jpg,a person on a snowboard in the snow .,81049
http://www.mufoncms.com/files_jeud8334j/81050_submitter_file1__20161023112050.jpg,a tall clock tower with a sky background,81050
http://www.mufoncms.com/files_jeud8334j/81053_submitter_file3__image2.PNG,a small airplane flying through a blue sky .,81053
http://www.mufoncms.com/files_jeud8334j/81055_submitter_file4__1001701.JPG,a city street at night filled with lots of traffic .,81055
http://www.mufoncms.com/files_jeud8334j/81063_submitter_file1__0732002R.png,a view of a mountain range from a plane .,81063
http://www.mufoncms.com/files_jeud8334j/81069_submitter_file3__DSCN1024.JPG,a black and white photo of a person holding a kite .,81069
http://www.mufoncms.com/files_jeud8334j/81074_submitter_file1__14822793975471933203229.jpg,a pair of shoes sitting on top of a skateboard .,81074
http://www.mufoncms.com/files_jeud8334j/81075_submitter_file1__20161220175648.jpg,a clock tower in the middle of a city .,81075
http://www.mufoncms.com/files_jeud8334j/81078_submitter_file1__20161220181124.jpg,a man flying through the air while riding a snowboard .,81078
http://www.mufoncms.com/files_jeud8334j/81082_submitter_file1__Screenshot201612182357011.jpg,a view of a city street from a plane .,81082
http://www.mufoncms.com/files_jeud8334j/81083_submitter_file1__20161219184026Labled.jpg,a traffic light sitting on the side of a road .,81083
http://www.mufoncms.com/files_jeud8334j/81084_submitter_file1__strangeobjectufohb7.20.2013.JPG,a kite flying in the sky near a tree .,81084
http://www.mufoncms.com/files_jeud8334j/81089_submitter_file2__IMG39581.JPG,a person is flying a kite in the air .,81089
http://www.mufoncms.com/files_jeud8334j/81097_submitter_file1__IMG2408.PNG,a group of people flying kites in the sky .,81097
http://www.mufoncms.com/files_jeud8334j/81100_submitter_file1__twins14a.png,a large jetliner flying over a bridge over a river .,81100
http://www.mufoncms.com/files_jeud8334j/81101_submitter_file1__01ovnisemcor.jpg,a view of a river with a bridge in the background .,81101
http://www.mufoncms.com/files_jeud8334j/81104_submitter_file1__image.jpeg,a kite flying in the sky over a city .,81104
http://www.mufoncms.com/files_jeud8334j/81105_submitter_file1__scan0013.jpg,a close up of a tooth brush in a cup,81105
http://www.mufoncms.com/files_jeud8334j/81106_submitter_file1__image.jpeg,a kite flying in the sky over a city .,81106
http://www.mufoncms.com/files_jeud8334j/81109_submitter_file1__IMAG0055.JPG,a fire hydrant in the middle of a forest .,81109
http://www.mufoncms.com/files_jeud8334j/81111_submitter_file1__IMG201612201712111.jpg,a train traveling down tracks next to a forest .,81111
http://www.mufoncms.com/files_jeud8334j/81112_submitter_file1__UFOlights.jpg,a pair of scissors and a pair of scissors .,81112
