event_id,urls,label
70002,http://www.mufoncms.com/files_jeud8334j/70002_submitter_file1__UFO.JPG,"lakeside, lakeshore"
70010,http://www.mufoncms.com/files_jeud8334j/70010_submitter_file3__IMG3993.JPG,"fire engine, fire truck"
70016,http://www.mufoncms.com/files_jeud8334j/70016_submitter_file1__OVNIAMADOFRANCIAELSALVADOR.jpg,geyser
70021,http://www.mufoncms.com/files_jeud8334j/70021_submitter_file1__1.jpg,"spotlight, spot"
70027,http://www.mufoncms.com/files_jeud8334j/70027_submitter_file4__1.jpg,bubble
70029,http://www.mufoncms.com/files_jeud8334j/70029_submitter_file1__sight.png,"airship, dirigible"
70031,http://www.mufoncms.com/files_jeud8334j/70031_submitter_file1__UFOsoverCapitolBuilding.jpg,"traffic light, traffic signal, stoplight"
70034,http://www.mufoncms.com/files_jeud8334j/70034_submitter_file1__Screenshot1.png,"warplane, military plane"
70039,http://www.mufoncms.com/files_jeud8334j/70039_submitter_file1__V6BDF.jpg,tile roof
70048,http://www.mufoncms.com/files_jeud8334j/70048_submitter_file1__image.jpg,"lakeside, lakeshore"
70049,http://www.mufoncms.com/files_jeud8334j/70049_submitter_file1__0.jpg,"nematode, nematode worm, roundworm"
70052,http://www.mufoncms.com/files_jeud8334j/70052_submitter_file1__20150902062209.jpg,bubble
70053,http://www.mufoncms.com/files_jeud8334j/70053_submitter_file1__fireball1.jpg,"nematode, nematode worm, roundworm"
70054,http://www.mufoncms.com/files_jeud8334j/70054_submitter_file1__20150829203932.jpg,volcano
70061,http://www.mufoncms.com/files_jeud8334j/70061_submitter_file1__Mothership.jpg,"airship, dirigible"
70065,http://www.mufoncms.com/files_jeud8334j/70065_submitter_file1__20150620215554.jpg,suspension bridge
70066,http://www.mufoncms.com/files_jeud8334j/70066_submitter_file1__DSC1133.JPG,dome
70067,http://www.mufoncms.com/files_jeud8334j/70067_submitter_file3__ce31545ec37a41c99b080353f45a5550.jpg,"mobile home, manufactured home"
70068,http://www.mufoncms.com/files_jeud8334j/70068_submitter_file1__20150902193201.jpg,park bench
70073,http://www.mufoncms.com/files_jeud8334j/70073_submitter_file2__20150902062146.jpg,wreck
70081,http://www.mufoncms.com/files_jeud8334j/70081_submitter_file1__Screenshot20150902220625.png,alp
70083,http://www.mufoncms.com/files_jeud8334j/70083_submitter_file1__IMG20150815205631302.jpg,"parachute, chute"
70090,http://www.mufoncms.com/files_jeud8334j/70090_submitter_file1__11990788102070812626474151630551555o.jpg,"picket fence, paling"
70164,http://www.mufoncms.com/files_jeud8334j/70164_submitter_file1__image.jpg,"nematode, nematode worm, roundworm"
70166,http://www.mufoncms.com/files_jeud8334j/70166_submitter_file1__NogalesSighting.jpg,"web site, website, internet site, site"
70170,http://www.mufoncms.com/files_jeud8334j/70170_submitter_file1__11896257101536052348926797705333365577101044n.jpg,"seashore, coast, seacoast, sea-coast"
70175,http://www.mufoncms.com/files_jeud8334j/70175_submitter_file1__201508262348291.jpg,wing
70180,http://www.mufoncms.com/files_jeud8334j/70180_submitter_file1__20150719edit.jpg,fountain
70181,http://www.mufoncms.com/files_jeud8334j/70181_submitter_file1__vlcsnap2015090523h54m47s249.jpg,"spotlight, spot"
70182,http://www.mufoncms.com/files_jeud8334j/70182_submitter_file3__image.jpg,pier
70186,http://www.mufoncms.com/files_jeud8334j/70186_submitter_file2__WP20150906002resized.jpg,balloon
70191,http://www.mufoncms.com/files_jeud8334j/70191_submitter_file1__ufo.png,"nematode, nematode worm, roundworm"
70192,http://www.mufoncms.com/files_jeud8334j/70192_submitter_file1__image.jpg,"nematode, nematode worm, roundworm"
70215,http://www.mufoncms.com/files_jeud8334j/70215_submitter_file1__IMG20150111111202147.jpg,bubble
70220,http://www.mufoncms.com/files_jeud8334j/70220_submitter_file1__image.jpg,kite
70296,http://www.mufoncms.com/files_jeud8334j/70296_submitter_file3__20150907052339.jpg,"nematode, nematode worm, roundworm"
70303,http://www.mufoncms.com/files_jeud8334j/70303_submitter_file2__UFOannotated.jpg,"computer keyboard, keypad"
70307,http://www.mufoncms.com/files_jeud8334j/70307_submitter_file1__laborday2015190001.JPG,"nematode, nematode worm, roundworm"
70313,http://www.mufoncms.com/files_jeud8334j/70313_submitter_file1__20150826192237.jpg,car mirror
70328,http://www.mufoncms.com/files_jeud8334j/70328_submitter_file1__image.jpg,crane
70342,http://www.mufoncms.com/files_jeud8334j/70342_submitter_file1__5.jpg,syringe
