,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
45000,2013-01-04 04:49:00,2012-12-30 05:26:00,Viewing Distance Unknown,,,,,,,,,,
45001,2013-01-04 06:17:00,1978-11-20 08:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45002,2013-01-04 07:08:00,2013-01-04 03:45:00,Viewing Distance 20 Feet or Less,,,,,,,,,,
45003,2013-01-04 08:57:00,2013-01-03 16:27:00,Viewing Distance Over One Mile,,,,,,,,,,
45004,2013-01-04 09:17:00,2013-01-03 16:27:00,Viewing Distance Over One Mile,,,,,,,,,,
45005,2013-01-04 10:03:00,2013-01-01 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45006,2013-01-04 10:40:00,2013-01-01 05:15:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45007,2013-01-04 16:18:00,1967-03-10 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45008,2013-01-04 16:21:00,2013-01-04 12:04:00,Viewing Distance Over One Mile,0 days 01:10:00.000000000,,,,,,,,,
45009,2013-01-04 18:57:00,2013-01-04 05:30:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45010,2013-01-04 20:17:00,2013-01-04 11:35:00,Viewing Distance Over One Mile,,,,,,,,,,
45011,2013-01-04 21:16:00,2012-12-19 01:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45012,2013-01-04 21:32:00,2007-07-08 09:30:00,Viewing Distance Unknown,,,,,,,,,,
45013,2013-01-04 21:34:00,2013-01-03 23:39:00,Viewing Distance Over One Mile,,,,,,,,,,
45014,2013-01-04 21:48:00,2013-01-04 19:23:00,"Viewing Distance Over 1 Mile, Unknown",0 days 00:02:30.000000000,,,,,,,,,
45015,2013-01-04 23:33:00,2013-01-04 21:39:00,Viewing Distance Over One Mile,,,,,,,,,,
45016,2013-01-04 23:38:00,2013-01-04 13:30:00,Viewing Distance Unknown,,,,,,,,,,
45017,2013-01-05 00:22:00,2012-12-30 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45018,2013-01-05 00:29:00,2012-11-12 06:29:00,Viewing Distance Unknown,,,,,,,,,,
45019,2013-01-05 00:41:00,2013-01-01 06:53:00,Viewing Distance Over One Mile,,,,,,,,,,
45020,2013-01-05 02:26:00,2013-01-01 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45021,2013-01-05 03:08:00,2013-01-04 04:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45022,2013-01-05 03:47:00,2013-01-01 04:10:00,Viewing Distance Unknown,,,,,,,,,,
45023,2013-01-05 05:05:00,2013-01-05 03:00:00,Viewing Distance Over One Mile,0 days 00:10:00.000000000,,,,,,,,,
45024,2013-01-05 05:14:00,2012-12-31 00:25:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",0 days 00:00:04.000000000,,,,,,,,,
45025,2013-01-05 06:56:00,2013-01-04 12:15:00,Viewing Distance Over One Mile,0 days 00:35:00.000000000,,,,,,,,,
45026,2013-01-05 06:57:00,2013-01-05 05:00:00,Viewing Distance Over One Mile,0 days 00:01:30.000000000,,,,,,,,,
45027,2013-01-05 07:15:00,2013-01-04 23:02:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:45.000000000,,,,,,,,,
45028,2013-01-05 10:17:00,2013-01-03 08:00:00,Viewing Distance N/A,,,,,,,,,,
45029,2013-01-05 11:55:00,2012-12-31 08:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:03:00.000000000,,,,,,,,,
45030,2013-01-05 13:08:00,2013-01-05 10:25:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",0 days 00:00:04.000000000,,,,,,,,,
45031,2013-01-05 13:32:00,2012-07-07 05:04:00,Viewing Distance N/A,,,,,,,,,,
45032,2013-01-05 14:03:00,2013-01-01 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45033,2013-01-05 20:59:00,2012-07-15 04:10:00,Viewing Distance Over One Mile,0 days 00:02:00.000000000,,,,,,,,,
45034,2013-01-05 21:06:00,2013-01-01 03:00:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
45035,2013-01-05 21:15:00,2013-01-01 03:00:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
45036,2013-01-05 21:20:00,2012-12-31 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45037,2013-01-05 21:37:00,2012-12-30 01:50:00,Viewing Distance Unknown,,,,,,,,,,
45038,2013-01-05 23:49:00,2013-01-04 19:20:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45039,2013-01-06 00:08:00,2012-11-03 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45040,2013-01-06 02:11:00,2013-01-06 01:15:00,Viewing Distance Unknown,0 days 00:00:10.000000000,,,,,,,,,
45041,2013-01-06 02:28:00,1998-11-18 10:30:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45042,2013-01-06 02:37:00,2013-01-04 19:27:00,Viewing Distance N/A,,,,,,,,,,
45043,2013-01-06 04:30:00,2012-12-25 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45044,2013-01-06 04:58:00,2003-10-02 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45045,2013-01-06 06:19:00,2013-01-06 02:48:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:10.000000000,,,,,,,,,
45046,2013-01-06 06:46:00,2013-01-05 02:45:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45047,2013-01-06 07:09:00,2012-05-20 07:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45048,2013-01-06 07:30:00,2013-01-05 07:15:00,Viewing Distance Unknown,,,,,,,,,,
45049,2013-01-06 08:13:00,2013-01-06 00:12:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45050,2013-01-06 16:51:00,2012-11-10 22:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45051,2013-01-06 17:23:00,2013-01-06 02:45:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",0 days 00:00:03.000000000,,,,,,,,,
45053,2013-01-06 22:01:00,2013-01-01 07:10:00,Viewing Distance Unknown,,,,,,,,,,
45054,2013-01-06 22:12:00,2013-01-06 19:35:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45055,2013-01-06 22:37:00,2013-01-06 06:10:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
45056,2013-01-06 22:51:00,2012-11-11 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45057,2013-01-07 00:16:00,2012-12-06 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45058,2013-01-07 01:29:00,2011-07-04 04:00:00,Viewing Distance Unknown,,,,,,,,,,
45059,2013-01-07 02:35:00,2012-11-11 08:00:00,Viewing Distance 20 Feet or Less,,,,,,,,,,
45060,2013-01-07 03:33:00,2013-01-04 06:30:00,Viewing Distance Unknown,0 days 03:30:01.000000000,,,,,,,,,
45061,2013-01-07 03:46:00,2012-10-13 21:30:00,Viewing Distance Unknown,0 days 00:00:01.000000000,,,,,,,,,
45062,2013-01-07 04:14:00,2011-12-24 08:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45063,2013-01-07 04:21:00,2013-01-07 02:10:00,Viewing Distance Unknown,0 days 00:07:00.000000000,,,,,,,,,
45064,2013-01-07 04:22:00,2009-09-01 02:15:00,Viewing Distance Over One Mile,,,,,,,,,,
45065,2013-01-07 05:30:00,2012-12-22 05:10:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45066,2013-01-07 05:57:00,2013-01-06 03:15:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45067,2013-01-07 08:14:00,2012-08-30 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45068,2013-01-07 13:32:00,2013-01-02 23:12:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45069,2013-01-07 15:04:00,1959-10-20 08:00:00,Viewing Distance 21-100 Feet,0 days 07:00:00.000000000,,,,,,,,,
45070,2013-01-07 17:42:00,2013-01-06 08:00:00,Viewing Distance N/A,,,,,,,,,,
45072,2013-01-07 19:25:00,2013-01-03 11:03:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45073,2013-01-07 21:40:00,2012-12-31 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45074,2013-01-07 22:54:00,2007-04-16 10:14:00,Viewing Distance 21-100 Feet,0 days 00:45:17.000000000,,,,,,,,,
45075,2013-01-07 23:12:00,2009-08-15 07:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45076,2013-01-08 00:16:00,2013-01-05 21:05:00,Viewing Distance Unknown,,,,,,,,,,
45077,2013-01-08 01:44:00,2012-08-27 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45078,2013-01-08 02:08:00,2013-01-06 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45079,2013-01-08 03:49:00,2012-12-31 03:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45080,2013-01-08 04:16:00,2013-01-08 05:50:00,Viewing Distance Unknown,0 days 00:01:10.000000000,,,,,,,,,
45081,2013-01-08 05:41:00,2013-01-08 04:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45082,2013-01-08 06:09:00,1965-02-17 06:00:00,Viewing Distance 101-500 Feet,0 days 00:00:20.000000000,,,,,,,,,
45083,2013-01-08 06:22:00,2013-01-03 05:30:00,Viewing Distance Unknown,,,,,,,,,,
45084,2013-01-08 06:30:00,2012-12-24 08:00:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",,,,,,,,,,
45085,2013-01-08 06:48:00,1995-08-01 10:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45086,2013-01-08 07:09:00,2013-01-07 13:55:00,Viewing Distance N/A,,,,,,,,,,
45087,2013-01-08 07:43:00,2012-12-28 22:13:00,"Viewing Distance Unknown, N/A",,,,,,,,,,
45088,2013-01-08 09:50:00,2013-01-01 03:35:00,Viewing Distance Over One Mile,,,,,,,,,,
45089,2013-01-08 10:31:00,1993-08-01 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45090,2013-01-08 17:36:00,2012-08-15 00:21:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45091,2013-01-08 18:42:00,2012-12-15 02:50:00,Viewing Distance Over One Mile,,,,,,,,,,
45092,2013-01-08 19:38:00,2013-01-06 05:30:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45093,2013-01-08 21:10:00,2012-12-20 04:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45094,2013-01-08 19:52:00,2011-11-12 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45095,2013-01-08 21:54:00,2011-11-12 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45096,2013-01-08 22:20:00,2011-11-12 08:00:00,Viewing Distance Unknown,,,,,,,,,,
