urls,event_id,shape
http://www.mufoncms.com/files_jeud8334j/16969_submitter_file1__DSC_0096.JPG,16969,Cigar
http://www.mufoncms.com/files_jeud8334j/16961_submitter_file1__ufo4.jpg,16961,Other
http://www.mufoncms.com/files_jeud8334j/16960_submitter_file1__RoundMovingObject.jpg,16960,Circle
http://www.mufoncms.com/files_jeud8334j/16958_submitter_file1__boomerangshape.jpg,16958,Boomerang
http://www.mufoncms.com/files_jeud8334j/16957_submitter_file1__PICT0144.JPG,16957,Circle
http://www.mufoncms.com/files_jeud8334j/16950_submitter_file1__untitled.JPG,16950,Blimp
http://www.mufoncms.com/files_jeud8334j/16948_submitter_file1__triangle.jpg,16948,Triangle
http://www.mufoncms.com/files_jeud8334j/16943_submitter_file1__100_0468.jpg,16943,Sphere
http://www.mufoncms.com/files_jeud8334j/16941_submitter_file1__PITTSGROVEUFOSITEJOSHBEYER.jpg,16941,Circle
http://www.mufoncms.com/files_jeud8334j/61966_submitter_file2__whatisthisposter.jpg,61966,
http://www.mufoncms.com/files_jeud8334j/61963_submitter_file2__image.jpg,61963,Cylinder
http://www.mufoncms.com/files_jeud8334j/61961_submitter_file1__G0022137.JPG,61961,Cigar
http://www.mufoncms.com/files_jeud8334j/61954_submitter_file1__image.jpg,61954,Other
http://www.mufoncms.com/files_jeud8334j/61949_submitter_file1__ufoJan12014.1.jpg,61949,Sphere
http://www.mufoncms.com/files_jeud8334j/26337_submitter_file1__PatagonianPeaks_20101026142842_10_26_2010.jpg,26337,Disc
http://www.mufoncms.com/files_jeud8334j/26335_submitter_file1__UFO11-3-10LosAngeles11.50AM(300%).jpg,26335,Other
http://www.mufoncms.com/files_jeud8334j/26326_submitter_file1__MDGC0378.JPG,26326,Cylinder
http://www.mufoncms.com/files_jeud8334j/26325_submitter_file1__2010-10-30_14-21-30_887WTF.jpg,26325,Other
http://www.mufoncms.com/files_jeud8334j/26321_submitter_file1__orangethinginsky110210.jpg,26321,Diamond
http://www.mufoncms.com/files_jeud8334j/26317_submitter_file1__71854_10150281713085085_739970084_15723848_1633122_n.jpg,26317,Cigar
